0	0	6.58	-6.07	-44.74
0	1	9.82	-6.76	-44.06
0	2	10.82	-7.63	-43.86
0	3	13.26	-8.8	-41.56
0	4	15.22	-5.89	-40.36
0	5	10.57	3.34	-41.41
0	6	14.12	9.43	-36.93
0	7	9.66	4.43	-33.33
0	8	6.74	0.96	-31.49
0	9	1.73	10.87	-29.31
0	10	0.23	8.09	-25.85
0	11	-2.31	10.66	-23.98
0	12	-4.71	9.54	-21.98
0	13	-5.99	10.31	-19.99
0	14	-8.45	9.66	-18.97
0	15	-5.52	12.9	-17.85
0	16	-11.73	13.81	-13.23
0	17	-13.42	13.52	-12.92
0	18	-15.67	10.45	-9.73
0	19	-18.52	7.68	-8.11
0	20	-19.03	4.68	-8.34
0	21	-20.62	6.73	-6.41
0	22	-21.25	5.25	-5.5
0	23	-19.14	4.0	-2.5
0	24	-17.73	2.79	-5.27
0	25	-17.48	3.52	-7.19
0	26	-17.03	2.73	-4.29
0	27	-16.48	3.76	-7.22
0	28	-14.77	5.22	-8.42
0	29	-13.09	5.9	-5.23
0	30	-13.37	6.77	-5.88
0	31	-14.83	7.75	-7.15
0	32	-14.82	6.85	-7.38
0	33	-15.36	9.28	-8.02
0	34	-13.46	8.54	-7.18
0	35	-14.36	6.83	-6.68
0	36	-13.23	8.72	-11.11
0	37	-13.24	8.27	-12.55
0	38	-10.17	5.87	-13.44
0	39	-8.4	7.76	-10.14
0	40	-8.6	10.92	-9.16
0	41	-7.62	12.51	-11.22
0	42	-7.83	13.86	-9.06
0	43	-10.82	16.14	-7.9
0	44	-14.07	16.82	-5.86
0	45	-14.77	16.69	-0.09
0	46	-16.79	17.96	-0.92
0	47	-18.5	17.64	-0.54
0	48	-20.06	18.77	-2.42
0	49	-20.46	18.12	-2.68
0	50	-19.12	16.06	-5.79
0	51	-18.59	16.54	-5.08
0	52	-15.23	19.15	0.07
0	53	-14.49	22.07	-2.61
0	54	-12.64	24.69	-2.7
0	55	-13.24	27.6	-5.05
0	56	-13.98	28.33	-12.63
0	57	-15.82	32.98	-9.2
0	58	-20.76	32.65	-10.67
0	59	-20.57	33.09	-14.66
0	60	-20.69	31.67	-16.53
0	61	-22.36	29.64	-20.74
0	62	-23.21	26.77	-27.23
0	63	-24.06	28.52	-25.77
0	64	-22.44	35.49	-17.6
0	65	-21.74	30.68	-20.13
0	66	-26.51	25.56	-22.27
0	67	-27.35	26.57	-23.97
0	68	-29.59	22.79	-26.26
0	69	-30.14	22.16	-20.21
0	70	-34.18	22.63	-20.63
0	71	-32.87	22.85	-21.53
0	72	-35.48	20.5	-17.36
0	73	-34.57	20.16	-25.14
0	74	-33.0	20.67	-27.84
0	75	-36.85	17.46	-25.91
0	76	-40.59	23.48	-16.02
0	77	-42.89	22.95	-19.74
0	78	-44.05	20.1	-21.47
0	79	-49.24	15.45	-17.42
0	80	-53.01	10.64	-13.53
0	81	-51.74	11.22	-18.09
0	82	-49.13	8.24	-18.34
